fleet_id,record_type,timestamp,elapsed_time,trigger_channel,peak_valley_indicator,strain_gauge_1,strain_gauge_2,strain_gauge_3,strain_gauge_4,strain_gauge_5,strain_gauge_6,strain_gauge_7,strain_gauge_8,strain_gauge_9,roll_acceleration,vertical_acceleration,airspeed,pressure_altitude,flap_position,elevator_position,left_aileron_position,beacon_start_stop_recording,gear_up_and_locked,flight_id
20046,TR,09:49.8,222.78,11,P,290.2,-6564.98,-65.15,7725.77,0,1264.43,-23.69,-14.81,-17.77,0.07,1.05,56.76,-450.3,15.36,-2.08,2.82,1,0,201
20047,TR,09:49.9,222.93,11,V,299.08,-6606.44,-82.91,7731.69,0,1285.16,-23.69,-20.73,-11.84,-0.08,0.93,56.15,-477.43,15.34,-2,2.85,1,0,201
20048,PE,09:51.8,224.8,,,293.16,-6499.83,-76.99,7746.5,0,1252.59,-29.61,-14.81,-8.88,0.03,1.02,56.76,-423.18,15.34,-2.1,2.85,1,0,201
20049,TR,09:57.2,230.18,11,P,319.81,-6547.21,-68.11,7699.12,0,1255.55,-23.69,-11.84,-20.73,-0.03,1.06,57.38,-368.92,15.33,-2.08,2.85,1,0,201
20050,PE,10:06.8,239.8,,,305,-6416.92,-65.15,7607.32,0,1249.63,-5.92,-2.96,-29.61,-0.03,1.01,57.69,-477.43,15.36,-2.08,2.85,1,0,201
20051,TR,10:18.3,251.28,11,V,299.08,-6390.27,-56.26,7639.9,0,1270.35,-5.92,-5.92,-20.73,0,0.93,56.76,-504.56,15.34,-2.1,2.85,1,0,201
20052,TR,10:20.5,253.51,11,P,299.08,-6271.82,-59.22,7619.17,0,1264.43,0,-14.81,-8.88,-0.03,1.06,57.69,-423.18,15.33,-2.08,2.85,1,0,201
20053,PE,10:21.8,254.8,,,284.28,-6393.23,-71.07,7610.28,0,1237.78,-2.96,-14.81,-8.88,0.05,0.99,56.46,-450.3,15.32,-2.1,2.85,1,0,201
20054,TR,10:25.8,258.81,11,V,302.04,-6257.02,-71.07,7610.28,0,1243.7,-11.84,-8.88,-14.81,0.08,0.89,56.76,-450.3,15.34,-2.05,2.82,1,0,201
20055,TR,10:28.1,261.06,11,P,305,-6280.71,-53.3,7628.05,0,1267.39,14.81,-11.84,-14.81,-0.02,1.06,56.76,-450.3,15.34,-2.13,2.91,1,0,201
20056,TR,10:29.4,262.36,11,V,293.16,-6529.45,-76.99,7619.17,0,1240.74,-11.84,-5.92,-29.61,0.02,0.92,57.38,-423.18,15.34,-2.08,2.91,1,0,201
20057,TR,10:30.2,263.21,11,P,305,-6416.92,-44.42,7633.97,0,1273.32,2.96,-8.88,-14.81,-0.1,1.05,56.76,-423.18,15.32,-2.1,2.85,1,0,201
20058,TR,10:33.9,266.91,11,V,266.51,-6230.36,-88.84,7625.09,0,1237.78,2.96,-17.77,-8.88,0,0.93,56.15,-450.3,15.33,-2.08,2.85,1,0,201
20059,TR,10:34.1,267.11,11,P,310.93,-6251.09,-53.3,7645.82,0,1267.39,0,-11.84,-23.69,-0.04,1.04,57.07,-450.3,15.34,-2.05,2.85,1,0,201
20060,TR,10:34.3,267.33,11,V,287.24,-6162.26,-71.07,7616.21,0,1243.7,-11.84,-11.84,-14.81,-0.02,0.93,56.46,-504.56,15.33,-2.08,2.85,1,0,201
20061,TR,10:34.8,267.81,11,P,310.93,-6325.12,-47.38,7622.13,0,1273.32,8.88,-5.92,-20.73,-0.11,1.06,56.46,-396.05,15.33,-2.1,2.82,1,0,201
20062,TR,10:35.8,268.76,11,V,296.12,-6221.48,-68.11,7577.71,0,1246.67,-17.77,-8.88,-26.65,-0.09,0.93,57.69,-396.05,15.34,-2.08,2.85,1,0,201
20063,TR,10:35.8,268.81,11,P,302.04,-6452.45,-47.38,7589.56,0,1270.35,-5.92,-5.92,-20.73,0.02,1.04,57.38,-450.3,15.34,-2.1,2.85,1,0,201
20064,TR,10:36.5,269.46,11,V,290.2,-6307.36,-71.07,7583.63,0,1246.67,-20.73,-5.92,-20.73,0.02,0.93,56.76,-396.05,15.33,-2.1,2.85,1,0,201
20065,TR,10:36.6,269.61,11,P,307.96,-6307.36,-56.26,7592.52,0,1261.47,-5.92,-8.88,-17.77,0.06,1.05,57.07,-368.92,15.32,-2.1,2.85,1,0,201
20066,PE,10:36.8,269.8,,,275.39,-6351.77,-76.99,7577.71,0,1231.86,-11.84,-2.96,-20.73,0.02,0.94,57.69,-423.18,15.32,-2.1,2.85,1,0,201
20067,TR,10:37.1,270.08,11,V,263.55,-6203.71,-97.72,7571.79,0,1237.78,8.88,-14.81,-8.88,0.01,0.93,57.38,-396.05,15.34,-2.08,2.85,1,0,201
20068,TR,10:37.2,270.21,11,P,299.08,-6224.44,-59.22,7604.36,0,1264.43,0,-5.92,-20.73,-0.12,1.04,57.38,-450.3,15.34,-2.1,2.91,1,0,201
20069,TR,10:37.5,270.51,11,V,290.2,-6185.95,-71.07,7595.48,0,1249.63,-17.77,-8.88,-14.81,-0.05,0.91,56.76,-423.18,15.32,-2.13,2.85,1,0,201
20070,TR,10:37.9,270.91,11,P,299.08,-6180.02,-47.38,7610.28,0,1264.43,-2.96,-8.88,-14.81,-0.11,1.05,56.76,-450.3,15.34,-2.08,2.82,1,0,201
20071,TR,10:38.1,271.13,11,V,263.55,-6085.27,-76.99,7586.59,0,1237.78,0,-14.81,-17.77,-0.02,0.92,56.76,-450.3,15.36,-2.08,2.85,1,0,201
20072,TR,10:39.0,271.96,11,P,299.08,-6257.02,-59.22,7595.48,0,1258.51,0,-11.84,-17.77,-0.02,1.07,57.38,-504.56,15.34,-2.08,2.85,1,0,201
20073,TR,10:39.2,272.18,11,V,278.35,-6177.06,-82.91,7571.79,0,1237.78,2.96,-11.84,-20.73,-0.09,0.91,57.38,-450.3,15.34,-2.08,2.85,1,0,201
